| Step | s_i | p(s_i)     | q(s_i)     | F(s_ik)    | G(s_ik)    |
+------+-----+------------+------------+------------+------------+
| 0    | -   | -          | -          | 0,00000000 | 1,00000000 |
|      |     |            |            | ---------- | ---------- |
| 1    | s2  | 0,20000000 | 0,20000000 | 0,20000000 | 0,20000000 |
|      |     |            |            | ---------- | ---------- |
| 2    | s1  | 0,20000000 | 0,00000000 | 0,20000000 | 0,04000000 |
|      |     |            |            | ---------- | ---------- |
| 3    | s3  | 0,10000000 | 0,40000000 | 0,21600000 | 0,00400000 |
|      |     |            |            | ---------- | ---------- |
| 4    | s1  | 0,20000000 | 0,00000000 | 0,21600000 | 0,00080000 |
|      |     |            |            | ---------- | ---------- |
| 5    | s2  | 0,20000000 | 0,20000000 | 0,21616000 | 0,00016000 |
|      |     |            |            | ---------- | ---------- |
| 6    | s4  | 0,50000000 | 0,50000000 | 0,21624000 | 0,00008000 |
|      |     |            |            | ---------- | ---------- |
| 7    | s3  | 0,10000000 | 0,40000000 | 0,21627200 | 0,00000800 |
|      |     |            |            | ---------- | ---------- |
+------+-----+------------+------------+------------+------------+
Длинна L = ⎡log2(0,00000800)⎤ = 18
Кодовое слово: bin(0,21627200 + 0,00000800/2 = 001101110101110111
X = 0.21627426
| Шаг k | F_k        | G_k        | Гипотеза s_i           | q(s_i)     | Сравнение Fk + qkGk | Решение | Решение s_i | p(s_i)     |
+-------+------------+------------+------------------------+------------+---------------------+---------+-------------+------------+
| 0     |            |            | C = 001101110101110111 |            | X = 0,21627426      |         |             |            |
|       |            |            | ----------             |            | ----------          |         |             |            |
| 1     | 0,00000000 | 1,00000000 | s1                     | 0,00000000 | 0,00000000 < X ?    | 1       |             |            |
| 1     | 0,00000000 | 1,00000000 | s2                     | 0,20000000 | 0,20000000 < X ?    | 1       |             |            |
| 1     | 0,00000000 | 1,00000000 | s3                     | 0,40000000 | 0,40000000 < X ?    | 0       |             |            |
| 1     | 0,00000000 | 1,00000000 | s4                     | 0,50000000 | 0,50000000 < X ?    | 0       |             |            |
|       |            |            | ----------             |            | ----------          |         | s2          | 0,20000000 |
| 2     | 0,20000000 | 0,20000000 | s1                     | 0,00000000 | 0,20000000 < X ?    | 1       |             |            |
| 2     | 0,20000000 | 0,20000000 | s2                     | 0,20000000 | 0,24000000 < X ?    | 0       |             |            |
| 2     | 0,20000000 | 0,20000000 | s3                     | 0,40000000 | 0,28000000 < X ?    | 0       |             |            |
| 2     | 0,20000000 | 0,20000000 | s4                     | 0,50000000 | 0,30000000 < X ?    | 0       |             |            |
|       |            |            | ----------             |            | ----------          |         | s1          | 0,20000000 |
| 3     | 0,20000000 | 0,04000000 | s1                     | 0,00000000 | 0,20000000 < X ?    | 1       |             |            |
| 3     | 0,20000000 | 0,04000000 | s2                     | 0,20000000 | 0,20800000 < X ?    | 1       |             |            |
| 3     | 0,20000000 | 0,04000000 | s3                     | 0,40000000 | 0,21600000 < X ?    | 1       |             |            |
| 3     | 0,20000000 | 0,04000000 | s4                     | 0,50000000 | 0,22000000 < X ?    | 0       |             |            |
|       |            |            | ----------             |            | ----------          |         | s3          | 0,10000000 |
| 4     | 0,21600000 | 0,00400000 | s1                     | 0,00000000 | 0,21600000 < X ?    | 1       |             |            |
| 4     | 0,21600000 | 0,00400000 | s2                     | 0,20000000 | 0,21680000 < X ?    | 0       |             |            |
| 4     | 0,21600000 | 0,00400000 | s3                     | 0,40000000 | 0,21760000 < X ?    | 0       |             |            |
| 4     | 0,21600000 | 0,00400000 | s4                     | 0,50000000 | 0,21800000 < X ?    | 0       |             |            |
|       |            |            | ----------             |            | ----------          |         | s1          | 0,20000000 |
| 5     | 0,21600000 | 0,00080000 | s1                     | 0,00000000 | 0,21600000 < X ?    | 1       |             |            |
| 5     | 0,21600000 | 0,00080000 | s2                     | 0,20000000 | 0,21616000 < X ?    | 1       |             |            |
| 5     | 0,21600000 | 0,00080000 | s3                     | 0,40000000 | 0,21632000 < X ?    | 0       |             |            |
| 5     | 0,21600000 | 0,00080000 | s4                     | 0,50000000 | 0,21640000 < X ?    | 0       |             |            |
|       |            |            | ----------             |            | ----------          |         | s2          | 0,20000000 |
| 6     | 0,21616000 | 0,00016000 | s1                     | 0,00000000 | 0,21616000 < X ?    | 1       |             |            |
| 6     | 0,21616000 | 0,00016000 | s2                     | 0,20000000 | 0,21619200 < X ?    | 1       |             |            |
| 6     | 0,21616000 | 0,00016000 | s3                     | 0,40000000 | 0,21622400 < X ?    | 1       |             |            |
| 6     | 0,21616000 | 0,00016000 | s4                     | 0,50000000 | 0,21624000 < X ?    | 1       |             |            |
|       |            |            | ----------             |            | ----------          |         | s4          | 0,50000000 |
| 7     | 0,21624000 | 0,00008000 | s1                     | 0,00000000 | 0,21624000 < X ?    | 1       |             |            |
| 7     | 0,21624000 | 0,00008000 | s2                     | 0,20000000 | 0,21625600 < X ?    | 1       |             |            |
| 7     | 0,21624000 | 0,00008000 | s3                     | 0,40000000 | 0,21627200 < X ?    | 1       |             |            |
| 7     | 0,21624000 | 0,00008000 | s4                     | 0,50000000 | 0,21628000 < X ?    | 0       |             |            |
|       |            |            | ----------             |            | ----------          |         | s3          | 0,10000000 |
+-------+------------+------------+------------------------+------------+---------------------+---------+-------------+------------+
